titulo,ano,local,coautores,link_externo
A low-cost smart home automation to enhance decision-making based on fog computing and computational intelligence,2018,IEEE,Geraldo Pereira Rocha Filho; Leandro Yukio Mano; Alan Demetrius Baria Valejo; Leandro Aparecido Villas; Jo Ueyama,N/A
Enhancing intelligence in multimodal emotion assessments,2017,Springer US,Vinícius P Gonçalves; Eduardo P Costa; Alan Valejo; Geraldo PR Filho; Thienne M Johnson; Gustavo Pessin; Jó Ueyama,N/A
A critical survey of the multilevel method in complex networks,2020,ACM,Alan Valejo; Vinícius Ferreira; Renato Fabbri; Maria Cristina Ferreira de Oliveira; Alneu de Andrade Lopes,N/A
Multilevel approach for combinatorial optimization in bipartite network,2018,Elsevier,Alan Valejo; Maria Cristina Ferreira de Oliveira; PR Geraldo Filho; Alneu de Andrade Lopes,N/A
ResiDI: Towards a smarter smart home system for decision-making using wireless sensors and actuators,2018,Elsevier,PR Geraldo Filho; Leandro A Villas; Heitor Freitas; Alan Valejo; Daniel L Guidoni; Jó Ueyama,N/A
Rgcli: Robust graph that considers labeled instances for semi-supervised learning,2017,Elsevier,Lilian Berton; Thiago de Paulo Faleiros; Alan Valejo; Jorge Valverde-Rebaza; Alneu de Andrade Lopes,N/A
A coarsening method for bipartite networks via weight-constrained label propagation,2020,Elsevier,Alan Valejo; Thiago Faleiros; Maria Cristina Ferreira de Oliveira; Alneu de Andrade Lopes,N/A
A benchmarking tool for the generation of bipartite network models with overlapping communities,2020,Springer London,Alan Valejo; Fabiana Góes; Luzia Romanetto; Maria Cristina Ferreira de Oliveira; Alneu de Andrade Lopes,N/A
A multilevel approach for overlapping community detection,2014,IEEE,Alan Valejo; Jorge Valverde-Rebaza; Alneu De Andrade Lopes,N/A
Community detection in bipartite network: a modified coarsening approach,2018,Springer International Publishing,Alan Valejo; Vinícius Ferreira; Maria CF de Oliveira; Alneu de Andrade Lopes,N/A
A naïve bayes model based on overlapping groups for link prediction in online social networks,2015,Proceedings of the 30th Annual ACM Symposium on Applied Computing,Jorge Valverde-Rebaza; Alan Valejo; Lilian Berton; Thiago de Paulo Faleiros; Alneu de Andrade Lopes,N/A
